Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
100	-15818.88	-15827.93	9.049093	0.126993	0.107279	0.091797	0.0924734	0.11327	0.0927075	0.163688	0.080236	0.0866545	0.150965	0.0720046	0.0985778	0.11546	0.103416	0.125194	0.137693	0.097865	0.107471	0.128673	0.086125	0.100484	0.0686859	0.167893	0.0131045	0.0215872	0.0265187	0.0201651	0.0391081	0.0450078	0.0231063	0.0273174	0.00611547	0.0487092	0.0488826	0.068501	0.0484243	0.02492	0.0415715	0.0368496	0.0486663	0.0324815	0.0321988	0.0438013	3.212641
110	-15816.34	-15826.03	9.698138	0.126993	0.107279	0.102387	0.0909895	0.0940821	0.117711	0.101829	0.080236	0.096894	0.154332	0.0580833	0.0849999	0.0945844	0.0922247	0.13434	0.133526	0.107304	0.118292	0.107777	0.0756083	0.0797072	0.0905227	0.159444	0.0338976	0.0342787	0.015463	0.0195183	0.0469688	0.0438923	0.0314087	0.0443317	0.00363807	0.0656396	0.04273	0.068156	0.0366714	0.0275939	0.0429633	0.0285605	0.0574318	0.0350927	0.0226376	0.037717	3.147737
120	-15803.53	-15812.33	8.793785	0.126993	0.0968848	0.0815121	0.118951	0.116925	0.0749713	0.136387	0.101897	0.0771887	0.154076	0.0753376	0.0828807	0.0967235	0.102592	0.120015	0.153696	0.121879	0.109903	0.116068	0.0773564	0.0854689	0.0789718	0.172829	0.0289542	0.0231695	0.0187686	0.0288176	0.0303055	0.0496871	0.0273619	0.0436448	0.013815	0.0584702	0.0556869	0.0646221	0.0201215	0.0480235	0.0472358	0.0235132	0.0574318	0.0379155	0.0378835	0.0432376	3.238172
130	-15803.78	-15812.81	9.034951	0.120684	0.114853	0.0978426	0.110424	0.0951791	0.0703682	0.142011	0.0843814	0.0828045	0.182319	0.0807197	0.0925119	0.0981264	0.110327	0.0995183	0.112133	0.130327	0.121231	0.117745	0.0814681	0.0841326	0.0732985	0.158314	0.0382938	0.0319508	0.0175312	0.0250578	0.0343782	0.043041	0.043064	0.0303559	0.0224315	0.0457193	0.0435588	0.0829776	0.0237105	0.0345389	0.0533362	0.0115246	0.0561655	0.0482299	0.0241267	0.0433465	3.214056
140	-15802.71	-15811.84	9.136563	0.130102	0.114853	0.0855204	0.108963	0.122183	0.0740088	0.116817	0.0778776	0.0993568	0.172855	0.0727585	0.0773244	0.100197	0.106454	0.105695	0.130623	0.130327	0.115404	0.124666	0.0683694	0.0819192	0.0783377	0.193209	0.0203289	0.0364308	0.0200302	0.0295393	0.0324644	0.0409915	0.036877	0.0343225	0.0211181	0.044573	0.0258537	0.0966306	0.0305996	0.0323867	0.0423571	0.0170447	0.0457343	0.03893	0.0338888	0.035972	3.203894
150	-15813.61	-15823.14	9.532475	0.139289	0.0916827	0.0798889	0.106415	0.122183	0.0693333	0.121399	0.0846705	0.078177	0.157754	0.0981208	0.0760419	0.105372	0.0901786	0.106279	0.116864	0.130327	0.110132	0.106695	0.0720316	0.103749	0.0726973	0.166845	0.0161833	0.0436971	0.0095889	0.0184788	0.0210292	0.0580529	0.0392439	0.0384666	0.02621	0.0606165	0.0203002	0.0884226	0.0255801	0.0372727	0.0531417	0.0270824	0.0654658	0.038736	0.0312785	0.0393314	3.164303
160	-15811.63	-15821.5	9.874535	0.138357	0.0815067	0.102307	0.0980257	0.122183	0.0793906	0.12163	0.080079	0.101627	0.177521	0.065675	0.0856247	0.112528	0.0948371	0.106093	0.142296	0.125359	0.10104	0.123615	0.0742799	0.0689602	0.0842656	0.162496	0.0161316	0.0484038	0.0119595	0.0235365	0.0205628	0.054894	0.0219899	0.0504079	0.0355981	0.0443946	0.0297198	0.0740514	0.0138753	0.0294965	0.0273175	0.0401124	0.0419955	0.0362229	0.0206113	0.0391185	3.130097
170	-15805	-15814.03	9.036428	0.138357	0.106605	0.110202	0.0988305	0.107538	0.0806985	0.125372	0.0778087	0.0876401	0.163655	0.0824738	0.0856247	0.104401	0.104586	0.106677	0.11437	0.14124	0.115902	0.125821	0.0895541	0.0922405	0.0799393	0.162496	0.0133882	0.0336673	0.0229393	0.0184525	0.0182866	0.0579709	0.0215136	0.0326486	0.0396656	0.0460533	0.0526096	0.0676713	0.0213626	0.0202659	0.0438912	0.0566132	0.0389434	0.0428933	0.0233684	0.0396715	3.213908
180	-15807.78	-15816.36	8.576159	0.123975	0.11115	0.110304	0.102088	0.104548	0.0992684	0.09502	0.068441	0.108445	0.164464	0.0799919	0.119262	0.114984	0.108701	0.12623	0.125189	0.116889	0.120721	0.129059	0.06837	0.0986871	0.0818403	0.16397	0.0209877	0.0240874	0.0102947	0.029697	0.0114249	0.0588536	0.0287178	0.0269722	0.0350594	0.0495548	0.041796	0.0807076	0.0275082	0.0343708	0.0403843	0.0337456	0.0501754	0.0302017	0.0441834	0.0396158	3.259935
190	-15807.97	-15817.03	9.059501	0.123975	0.108361	0.104309	0.0753612	0.104548	0.0635785	0.134751	0.0794626	0.102975	0.158453	0.0799919	0.0985571	0.0899038	0.0899229	0.107578	0.141537	0.12082	0.121935	0.127034	0.0914423	0.102263	0.0828298	0.176069	0.0123754	0.0242554	0.0119965	0.020732	0.0129509	0.0445124	0.0292268	0.0352179	0.0350594	0.0496494	0.0379792	0.0795083	0.0187407	0.0426551	0.0517512	0.031423	0.054749	0.0492446	0.0311825	0.0527334	3.211601
